Vertices,Edges,Total_Size,Iterations,Time_ms
1000,2000,3000,7000,3.7451
10000,20000,30000,70000,18.542
1200,2400,3600,8400,0.7819
1400,2800,4200,9800,0.8036
1600,3200,4800,11200,1.0339
1800,3600,5400,12600,0.9802
200,400,600,1400,0.072
2000,4000,6000,14000,1.2392
2200,4400,6600,15400,1.2213
2400,4800,7200,16800,1.546
2600,5200,7800,18200,2.3317
2800,5600,8400,19600,2.1537
3000,6000,9000,21000,2.9027
3200,6400,9600,22400,2.2618
3400,6800,10200,23800,2.2859
3600,7200,10800,25200,2.6036
3800,7600,11400,26600,2.8583
400,800,1200,2800,0.4067
4000,8000,12000,28000,0.6906
4200,8400,12600,29400,2.02
4400,8800,13200,30800,2.0324
4600,9200,13800,32200,3.6596
4800,9600,14400,33600,3.549
5000,10000,15000,35000,4.2454
5200,10400,15600,36400,1.1325
5400,10800,16200,37800,1.4614
5600,11200,16800,39200,1.1724
5800,11600,17400,40600,1.4948
600,1200,1800,4200,0.0826
6000,12000,18000,42000,0.7324
6200,12400,18600,43400,1.4598
6400,12800,19200,44800,1.3314
6600,13200,19800,46200,1.2609
6800,13600,20400,47600,1.9956
7000,14000,21000,49000,1.3327
7200,14400,21600,50400,2.2575
7400,14800,22200,51800,1.8249
7600,15200,22800,53200,0.9983
7800,15600,23400,54600,1.9105
800,1600,2400,5600,0.0863
8000,16000,24000,56000,2.2163
8200,16400,24600,57400,1.7572
8400,16800,25200,58800,2.3572
8600,17200,25800,60200,1.781
8800,17600,26400,61600,1.7968
9000,18000,27000,63000,0.8626
9200,18400,27600,64400,2.0455
9400,18800,28200,65800,2.8138
9600,19200,28800,67200,3.8145
9800,19600,29400,68600,1.9971
